Austria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive changes in law and policy,60
Austria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Enforcement of existing law and policies,16
Austria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive stance and discourse by politicians and/or political parties,27
Austria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by public figures and community leaders,52
Austria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by civil society,39
Austria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Visibility and participation of LGBTI people in everyday life,65
Austria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Other,3
Austria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Dont know,0
Belgium,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive changes in law and policy,46
Belgium,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Enforcement of existing law and policies,19
Belgium,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive stance and discourse by politicians and/or political parties,27
Belgium,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by public figures and community leaders,44
Belgium,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by civil society,39
Belgium,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Visibility and participation of LGBTI people in everyday life,79
Belgium,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Other,4
Belgium,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Dont know,0
Bulgaria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive changes in law and policy,13
Bulgaria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Enforcement of existing law and policies,8
Bulgaria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive stance and discourse by politicians and/or political parties,11
Bulgaria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by public figures and community leaders,50
Bulgaria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by civil society,55
Bulgaria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Visibility and participation of LGBTI people in everyday life,63
Bulgaria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Other,12
Bulgaria,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Dont know,0
Cyprus,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive changes in law and policy,46
Cyprus,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Enforcement of existing law and policies,12
Cyprus,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive stance and discourse by politicians and/or political parties,19
Cyprus,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by public figures and community leaders,42
Cyprus,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by civil society,48
Cyprus,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Visibility and participation of LGBTI people in everyday life,66
Cyprus,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Other,7
Cyprus,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Dont know,0
Czechia,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive changes in law and policy,38
Czechia,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Enforcement of existing law and policies,15
Czechia,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive stance and discourse by politicians and/or political parties,30
Czechia,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by public figures and community leaders,50
Czechia,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by civil society,54
Czechia,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Visibility and participation of LGBTI people in everyday life,59
Czechia,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Other,5
Czechia,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Dont know,0
Germany,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive changes in law and policy,55
Germany,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Enforcement of existing law and policies,14
Germany,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive stance and discourse by politicians and/or political parties,25
Germany,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by public figures and community leaders,53
Germany,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by civil society,42
Germany,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Visibility and participation of LGBTI people in everyday life,69
Germany,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Other,3
Germany,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Dont know,0
Denmark,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive changes in law and policy,38
Denmark,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Enforcement of existing law and policies,11
Denmark,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Positive stance and discourse by politicians and/or political parties,40
Denmark,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by public figures and community leaders,50
Denmark,DEXind_b3,"Main reasons for the decrease in prejudice, intolerance and/or violence?",All,All,Support by civil society,49
